0,20,9
7,22,4
31,5,20
9,5,6
20,22,31
15,20,25
4,5,27
31,27,5
20,5,4
2,20,6
27,5,21
32,6,20
6,4,20
3,20,27
25,27,11
15,11,12
8,30,4
21,15,20
32,11,0
34,32,5
10,33,20
5,1,15
26,20,12
25,20,27
0,5,15
16,20,28
15,34,5
20,25,23
31,12,20
1,15,9
15,23,20
22,4,20
26,21,5
17,22,5
14,20,13
12,15,25
15,30,5
34,20,9
19,20,30
17,15,20
16,10,34
20,6,26
0,11,20
34,9,7
13,5,20
33,2,20
15,17,24
9,2,34
6,20,16
15,20,24
10,17,20
17,20,12
9,20,19
26,27,25
15,31,5
3,32,20
20,15,0
12,20,15
10,20,2
24,27,21
3,32,11
15,7,24
2,5,27
25,20,5
15,1,5
33,20,27
20,15,5
2,20,8
24,15,1
15,0,12
15,7,20
2,20,22
15,13,20
9,5,6
22,7,6
1,15,11
8,3,34
32,11,12
33,20,15
20,31,15
22,33,4
32,30,5
15,0,7
8,19,33
4,9,27
25,11,20
20,31,7
26,22,17
3,23,15
32,20,9
7,3,5
26,19,4
15,5,20
7,20,15
32,8,20
16,8,5
29,20,19
18,30,20
15,1,20
15,20,17
9,3,5
26,25,33
10,20,16
20,34,3
22,4,5
20,6,5
19,20,8
15,34,13
33,2,20
14,16,20
30,33,16
33,8,17
15,16,19
27,26,20
10,20,27
19,20,8
32,20,5
4,22,8
20,15,22
7,5,20
22,20,15
20,25,5
2,20,22
27,15,22
34,15,20
2,26,3
15,19,17
26,2,20
5,14,20
23,20,4
3,20,8
22,3,20
19,20,22
20,6,19
20,2,6
8,20,28
16,15,20
20,12,25
7,20,15
3,7,9
15,11,16
7,5,20
7,5,20
7,5,15
15,7,17
7,20,5
7,5,27
7,11,5
15,20,5
11,5,6
31,5,32
20,22,17
20,17,6
5,34,20
31,5,15
15,20,5
30,20,5
14,12,20
31,22,21
1,5,11
16,33,10
23,25,5
15,11,25
8,9,15
13,15,20
29,14,10
20,24,31
3,20,9
22,17,4
32,5,11
0,22,32
32,15,13
3,4,9
6,34,22
15,18,5
15,34,5
28,15,4
12,11,25
2,5,18
24,20,11
10,20,33
22,20,3
32,3,11
6,20,34
22,4,17
14,20,1
32,9,34
30,8,20
10,22,20
2,33,20
21,20,1
16,14,10
28,20,12
15,20,34
8,33,5
14,20,15
27,26,11
20,22,15
5,26,20
9,20,6
15,20,24
4,22,19
15,20,2
24,12,17
20,2,19
14,20,22
27,11,20
20,25,22
23,34,4
25,15,11
14,20,15
15,20,13
30,34,5
26,20,25
26,20,4
17,32,34
21,20,27
25,2,20
3,9,20
31,15,4
16,29,5
31,20,14
23,22,15
10,34,20
20,21,17
6,20,5
18,10,11
4,20,6
18,33,4
32,30,11
13,27,25
27,20,7
27,20,9
27,11,15
15,25,12
0,20,12
12,11,15
20,6,15
31,20,28
3,8,5
5,9,3
11,9,15
30,5,3
0,32,11
2,5,13
24,6,4
30,3,8
12,15,2
30,4,15
6,27,5
8,9,5
3,34,20
24,25,12
28,4,17
30,4,20
9,20,3
18,3,5
15,4,25
0,12,8
4,16,15
13,9,5
15,8,30
26,5,17
6,32,20
4,21,20
3,32,5
20,17,30
5,30,13
2,3,5
21,20,25
16,22,19
16,5,4
22,15,7
19,34,5
5,20,26
11,3,15
26,4,10
25,5,12
5,9,20
33,2,4
20,32,25
22,29,6
30,3,34
16,15,20
30,34,15
16,20,29
12,11,27
29,20,3
30,5,3
22,5,3
25,20,15
17,22,9
3,5,27
12,29,17
30,20,5
15,24,17
23,15,34
20,9,2
18,25,5
4,23,22
14,31,30
5,9,34
2,4,20
1,20,5
31,12,20
22,20,14
1,11,5
2,1,15
5,4,9
20,14,25
7,22,6
13,5,20
20,1,24
4,10,11
20,24,22
1,15,5
28,22,20
30,11,4
22,5,4
31,4,20
11,32,5
8,20,5
9,3,5
14,15,22
11,12,20
33,20,4
5,4,34
10,11,1
15,20,1
33,26,2
32,6,5
9,3,34
28,20,4
9,3,5
26,4,5
4,9,6
6,32,9
33,20,31
22,4,20
23,4,20
5,1,15
20,9,6
10,1,5
11,25,0
26,5,11
32,6,20
17,20,19
32,9,5
32,6,5
20,6,21
15,1,11
5,22,31
10,4,12
6,5,20
17,22,33
15,1,20
20,21,17
28,20,4
20,34,5
6,27,20
32,20,15
30,20,5
7,20,12
28,31,19
17,34,5
16,20,15
12,11,5
15,7,5
1,2,20
28,20,4
22,4,24
12,5,31
8,20,28
29,27,5
22,4,25
15,5,20
26,5,4
17,3,21
34,2,22
4,8,20
20,11,1
5,15,1
22,21,12
0,5,6
20,6,21
14,20,11
9,13,3
19,4,5
15,12,25
10,20,33
24,20,23
5,15,11
29,18,3
15,12,25
17,22,21
0,20,15
0,20,15
10,20,15
15,13,12
2,5,33
12,15,20
26,4,10
25,20,3
23,12,25
17,4,10
32,1,13
20,15,17
6,32,20
32,13,0
27,20,5
15,20,27
12,11,20
23,20,11
5,27,15
23,13,15
15,17,20
15,13,20
6,20,27
27,28,11
14,20,22
14,25,20
4,20,6
10,29,12
3,20,34
11,27,15
15,13,32
20,22,9
20,22,34
5,27,11
0,15,11
21,20,4
26,4,27
17,2,20
31,22,20
4,29,11
15,20,25
7,5,34
6,5,20
32,13,6
33,5,31
20,14,15
2,15,20
9,3,11
5,13,20
32,5,11
15,20,12
20,6,3
30,16,5
7,15,31
10,25,20
13,0,31
3,28,10
18,9,34
15,1,32
6,20,32
21,20,18
12,28,27
25,1,15
16,5,18
15,31,32
15,13,11
30,15,20
34,20,27
1,31,5
2,5,15
28,3,20
24,20,15
22,17,5
16,8,20
3,8,5
6,22,20
0,15,1
15,12,2
30,3,12
8,34,5
5,4,1
7,34,2
26,20,4
14,15,11
3,9,4
5,25,11
32,5,6
9,34,15
11,5,6
26,4,8
34,15,5
2,33,22
15,0,34
17,12,15
20,6,27
34,5,15
34,9,5
29,20,4
20,17,27
32,15,13
20,19,5
10,12,11
15,20,25
32,20,6
30,5,32
16,18,5
5,11,20
30,5,11
30,20,5
2,8,20
3,5,34
13,2,20
2,15,5
34,24,12
20,5,24
28,20,6
15,21,20
33,20,4
20,15,26
16,2,12
5,17,25
15,12,20
0,15,5
17,20,12
3,5,9
2,10,25
0,20,5
0,31,12
24,20,29
13,6,32
30,6,20
20,13,15
22,20,4
5,7,3
32,6,20
30,34,31
23,20,4
22,14,4
29,8,3
25,4,30
15,20,0
0,33,15
16,5,8
9,34,8
5,20,29
3,13,30
12,15,23
11,25,3
22,17,4
34,8,15
5,15,11
26,22,17
0,5,34
1,15,20
11,24,15
32,5,6
34,2,5
27,20,1
4,5,20
31,23,4
10,2,20
20,7,15
22,15,2
27,20,25
25,15,2
2,20,7
7,5,1
30,28,5
20,15,13
33,2,4
15,34,5
2,34,5
6,30,20
21,20,5
22,6,20
16,20,6
20,15,12
6,5,11
32,5,13
34,9,3
30,20,15
20,13,15
24,4,20
5,24,4
0,15,20
1,2,25
22,26,20
22,4,8
6,15,25
22,15,4
15,13,12
15,14,20
30,20,31
5,15,9
20,2,30
5,20,26
3,11,12
15,32,31
2,20,34
5,20,12
27,4,20
3,27,20
28,4,20
0,15,29
15,34,12
17,7,15
9,3,11
28,16,20
13,34,15
28,4,5
22,24,20
15,11,17
16,20,17
22,5,27
26,17,20
20,24,25
13,15,7
18,33,34
22,20,14
21,34,8
33,4,5
29,15,17
18,5,10
30,4,15
13,30,20
13,15,12
2,20,15
17,22,2
13,10,20
25,15,11
29,20,25
13,5,30
15,20,5
28,20,4
15,20,31
5,9,20
27,20,26
20,5,15
13,0,27
7,5,15
15,32,12
1,20,15
27,10,4
15,12,1
25,22,20
5,11,20
26,2,27
31,30,8
1,5,11
24,20,31
2,15,33
19,20,4
3,5,8
1,13,34
15,2,17
15,1,0
21,20,4
1,15,34
13,20,25
15,20,11
13,15,34
1,5,15
1,20,15
2,5,11
10,20,11
20,15,6
11,5,1
20,7,4
31,15,23
11,10,12
0,5,32
13,15,20
32,0,31
2,33,17
5,20,26
4,16,11
33,26,2
6,32,20
20,31,16
28,4,33
2,5,34
22,5,30
5,17,3
28,12,31
1,5,15
6,9,20
20,27,4
19,20,17
11,20,22
2,20,5
1,20,5
3,0,11
15,5,13
1,15,20
25,27,20
20,5,15
15,5,7
13,6,11
34,8,3
12,15,17
2,26,5
34,11,15
16,20,5
15,25,12
5,20,24
3,8,5
33,4,2
4,22,33
26,2,18
15,14,20
3,34,5
4,22,19
2,1,33
0,15,20
14,12,23
13,32,15
33,5,4
22,20,25
16,28,4
11,5,15
8,22,20
14,4,11
31,32,6
20,2,15
6,15,20
15,29,0
16,5,20
22,6,8
1,34,15
6,20,27
11,15,1
20,15,0
9,24,20
20,15,22
29,3,34
10,25,20
4,23,31
23,34,5
5,7,15
29,5,33
15,5,3
22,6,23
17,29,20
28,11,5
22,15,24
19,20,2
21,15,20
29,18,20
28,5,11
30,20,9
1,25,20
0,34,32
6,0,5
29,31,20
25,15,5
28,20,5
6,27,20
28,31,8
8,30,5
24,20,6
14,5,20
13,15,20
11,32,6
30,4,11
16,29,28
18,33,5
23,22,20
18,12,34
31,12,17
32,3,9
29,20,31
33,13,5
26,17,22
5,8,15
22,20,15
16,8,15
25,26,20
2,5,34
21,5,15
3,9,11
22,4,20
23,31,12
18,29,5
2,13,11
26,33,5
20,15,5
14,5,15
28,20,14
22,4,19
8,3,20
15,11,0
9,5,11
2,5,34
15,20,1
29,4,20
20,15,31
2,20,6
0,5,11
20,19,9
5,1,7
18,20,22
29,8,16
15,20,2
16,34,8
12,15,5
15,20,30
20,23,5
13,5,6
11,3,15
22,20,26
13,5,15
5,15,9
16,20,10
34,15,20
22,20,28
31,15,11
15,13,32
33,5,28
5,9,20
5,20,23
5,32,9
34,3,30
31,20,22
28,20,27
32,20,9
20,6,5
34,32,5
28,20,8
33,2,4
19,5,20
23,24,20
3,5,32
4,20,11
12,23,15
10,20,33
1,15,11
16,12,17
9,6,20
15,0,12
9,3,5
33,22,4
15,33,2
12,22,5
12,5,28
20,17,15
22,7,5
10,33,20
26,4,20
13,31,4
33,2,22
25,26,15
2,5,4
0,20,25
13,1,5
6,32,13
15,20,23
23,4,27
31,29,16
2,13,5
2,15,5
0,34,5
24,15,20
31,20,12
27,4,20
31,20,6
3,10,15
9,7,3
24,20,15
34,5,18
5,32,0
20,33,5
24,20,15
20,5,6
17,12,15
33,34,27
7,5,20
25,5,20
12,20,30
28,5,4
4,26,22
27,5,11
16,10,20
13,12,5
30,11,0
11,32,3
23,20,15
5,17,14
5,15,1
20,33,2
16,20,11
16,18,4
24,20,15
18,8,33
31,30,15
32,6,20
26,33,4
16,4,8
22,5,4
9,5,33
8,5,20
34,3,5
28,4,20
3,8,5
28,29,8
16,6,34
15,12,11
17,21,15
9,3,22
2,15,20
0,15,5
9,6,20
31,11,2
0,5,11
24,20,1
15,25,20
32,5,20
20,24,6
7,20,4
15,5,11
26,17,20
2,5,15
9,6,20
7,5,15
8,20,34
30,5,15
25,11,5
9,20,27
7,5,15
33,22,15
32,6,0
15,5,7
14,11,13
33,8,17
22,3,5
25,11,1
33,20,5
32,15,7
2,20,33
12,5,25
21,5,18
23,20,24
15,32,25
15,20,27
0,25,15
5,11,3
9,20,5
5,22,2
22,27,6
0,12,11
32,4,20
19,30,4
32,3,20
15,31,20
14,31,20
12,14,15
6,3,32
7,15,20
5,9,6
5,31,25
17,27,24
5,32,15
15,13,32
11,20,32
22,7,20
0,5,25
13,1,5
9,6,11
22,14,20
15,7,5
4,20,14
20,1,32
33,20,17
5,15,1
8,3,5
5,13,34
3,28,34
30,5,11
24,15,5
1,15,11
28,5,19
15,20,24
15,33,20
15,20,27
2,27,20
22,20,19
2,20,25
15,7,5
5,20,15
3,9,5
28,20,5
12,11,15
28,20,27
5,14,20
0,5,20
7,18,20
1,5,20
25,20,15
22,20,33
22,20,9
29,27,33
12,20,11
2,15,27
1,6,12
11,32,27
33,15,20
30,5,11
6,5,9
15,20,11
8,34,33
16,5,12
27,20,3
5,7,17
25,15,5
15,20,28
22,20,19
15,25,1
2,5,33
30,20,19
15,0,5
1,2,5
6,13,20
5,0,3
13,20,15
22,11,5
11,3,20
13,11,3
29,8,22
5,34,32
24,5,1
22,10,18
8,20,30
24,20,11
15,2,5
21,17,15
12,20,27
15,11,5
15,17,5
5,22,6
20,23,25
18,16,12
28,16,5
1,25,5
23,5,11
20,24,15
2,22,17
15,5,20
0,2,34
32,20,11
27,20,32
8,5,20
15,2,18
2,32,15
10,33,15
15,17,25
5,9,1
32,11,20
28,31,4
6,15,7
13,3,5
6,5,25
3,5,20
32,9,11
17,20,2
15,5,2
1,15,20
12,4,31
28,20,4
15,5,21
2,20,5
13,15,9
15,6,0
5,32,7
12,15,11
21,20,15
26,2,20
19,20,3
27,13,32
32,6,5
